Name,Club,Position,Trend,Points
Rory Sloane,Adelaide Crows,Midfielder,no-change,579.7
Eddie Betts,Adelaide Crows,Small/Medium Forward,no-change,475.4
Tom Lynch,Adelaide Crows,Small/Medium Forward,up,460.6
Sam Jacobs,Adelaide Crows,Ruck,up,450.5
Richard Douglas,Adelaide Crows,Midfielder,up,423.2
Rory Laird,Adelaide Crows,Small/Medium Defender,no-change,405.2
Taylor Walker,Adelaide Crows,Key Forward,no-change,402.5
Brodie Smith,Adelaide Crows,Small/Medium Defender,no-change,401.7
Josh Jenkins,Adelaide Crows,Key Forward,up,389.2
Matt Crouch,Adelaide Crows,Midfielder,no-change,365.8
Jarryd Lyons,Adelaide Crows,Midfielder/Forward,no-change,365.8
Scott Thompson,Adelaide Crows,Midfielder,no-change,357.9
Daniel Talia,Adelaide Crows,Key Defender,up,352.9
Charlie Cameron,Adelaide Crows,Small/Medium Forward,no-change,344.4
Jake Lever,Adelaide Crows,Key Defender,down,310.1
Kyle Cheney,Adelaide Crows,Key Defender,down,304.6
Rory Atkins,Adelaide Crows,Midfielder,no-change,302.6
David Mackay,Adelaide Crows,Midfielder,up,291.8
Luke Brown,Adelaide Crows,Small/Medium Defender,no-change,265.6
Ricky Henderson,Adelaide Crows,Small/Medium Defender,up,252
Kyle Hartigan,Adelaide Crows,Key Defender,up,248.3
Paul Seedsman,Adelaide Crows,Midfielder,no-change,238.1
Mitch McGovern,Adelaide Crows,Key Forward,down,179.1
Brad Crouch,Adelaide Crows,Midfielder,down,174
Nathan Van Berlo,Adelaide Crows,Small/Medium Defender,down,166.2
Cam Ellis-Yolmen,Adelaide Crows,Midfielder,no-change,149.2
Troy Menzel,Adelaide Crows,Small/Medium Forward,no-change,76.1
Riley Knight,Adelaide Crows,Small/Medium Forward,no-change,74.2
Wayne Milera,Adelaide Crows,Small/Medium Forward,down,65.4
Mitch Grigg,Adelaide Crows,Midfielder/Forward,no-change,51.5
Jake Kelly,Adelaide Crows,Small/Medium Defender,no-change,49.8
Matthew Jaensch,Adelaide Crows,Small/Medium Defender,no-change,48.1
Curtly Hampton,Adelaide Crows,Small/Medium Defender,up,27.7
Luke Lowden,Adelaide Crows,Ruck,down,14.1
Reilly O'Brien,Adelaide Crows,Ruck,no-change,16.9
Sam Shaw,Adelaide Crows,Small/Medium Defender,no-change,12.2
Andy Otten,Adelaide Crows,Key Defender,down,2.8
Jonathon Beech,Adelaide Crows,Midfielder/Forward,no-change,0
Harry Dear,Adelaide Crows,Key Forward,no-change,0
Tom Doedee,Adelaide Crows,Small/Medium Defender,no-change,0
Dean Gore,Adelaide Crows,Midfielder,no-change,0
Hugh Greenwood,Adelaide Crows,Midfielder/Forward,no-change,0
Paul Hunter,Adelaide Crows,Key Forward,no-change,0
Alex Keath,Adelaide Crows,Key Defender,no-change,0
Keenan Ramsey,Adelaide Crows,Key Defender,no-change,0
Harrison Wigg,Adelaide Crows,Small/Medium Defender,no-change,0
