Name,Club,Position,Trend,Points
Dayne Zorko,Brisbane Lions,Midfielder/Forward,no-change,551.1
Daniel Rich,Brisbane Lions,Small/Medium Defender,down,430.6
Stefan Martin,Brisbane Lions,Ruck,no-change,428.4
Tom Rockliff,Brisbane Lions,Midfielder,no-change,402.8
Ryan Bastinac,Brisbane Lions,Midfielder,no-change,380.4
Mitch Robinson,Brisbane Lions,Midfielder,no-change,370
Tom Bell,Brisbane Lions,Small/Medium Forward,no-change,349.5
Harris Andrews,Brisbane Lions,Key Defender,down,329.8
Pearce Hanley,Brisbane Lions,Midfielder,down,325.8
Allen Christensen,Brisbane Lions,Small/Medium Forward,down,304.7
Lewis Taylor,Brisbane Lions,Midfielder/Forward,up,299.3
Josh Green,Brisbane Lions,Small/Medium Forward,up,255.1
Dayne Beams,Brisbane Lions,Midfielder,no-change,237.2
Daniel McStay,Brisbane Lions,Key Forward,no-change,220.4
Daniel Merrett,Brisbane Lions,Key Defender,no-change,219.2
Ryan Lester,Brisbane Lions,Small/Medium Forward,no-change,215
Rohan Bewick,Brisbane Lions,Midfielder,up,213.1
Sam Mayes,Brisbane Lions,Small/Medium Defender,no-change,207.4
Tom Cutler,Brisbane Lions,Small/Medium Defender,no-change,201.1
Josh Walker,Brisbane Lions,Key Forward,no-change,199.8
Justin Clarke,Brisbane Lions,Key Defender,down,166.7
Marco Paparone,Brisbane Lions,Small/Medium Defender,down,161.6
Darcy Gardiner,Brisbane Lions,Key Defender,down,142.9
Claye Beams,Brisbane Lions,Small/Medium Defender,down,112.3
Ben Keays,Brisbane Lions,Small/Medium Forward,no-change,104.4
Rhys Mathieson,Brisbane Lions,Midfielder,no-change,103.8
Nick Robertson,Brisbane Lions,Midfielder,no-change,103.8
Ryan Harwood,Brisbane Lions,Small/Medium Defender,no-change,93.2
Josh Schache,Brisbane Lions,Key Forward,no-change,90.9
Liam Dawson,Brisbane Lions,Small/Medium Defender,no-change,71.5
Jarrad Jansen,Brisbane Lions,Midfielder,no-change,67.2
Matthew Hammelmann,Brisbane Lions,Key Defender,no-change,56.1
Eric Hipwood,Brisbane Lions,Key Forward,no-change,44.3
Jonathan Freeman,Brisbane Lions,Key Forward,no-change,44.2
Archie Smith,Brisbane Lions,Ruck,no-change,32
Michael Close,Brisbane Lions,Key Forward,up,26.4
Hugh Beasley,Brisbane Lions,Key Defender,no-change,21.9
Billy Evans,Brisbane Lions,Midfielder,no-change,21.8
Reuben William,Brisbane Lions,Small/Medium Defender,no-change,20.6
Jaden McGrath,Brisbane Lions,Small/Medium Defender,no-change,20
Trent West,Brisbane Lions,Ruck,no-change,16.7
Jackson Paine,Brisbane Lions,Key Defender,no-change,15.7
Josh Clayton,Brisbane Lions,Midfielder,no-change,1.5
Cian Hanley,Brisbane Lions,Small/Medium Defender,no-change,0
Josh McGuinness,Brisbane Lions,Small/Medium Defender,no-change,0
Sam Skinner,Brisbane Lions,Key Defender,no-change,0
Josh Watts,Brisbane Lions,Key Defender,no-change,0
