Name,Club,Position,Trend,Points
Patrick Cripps,Carlton,Midfielder,up,447.8
Kade Simpson,Carlton,Small/Medium Defender,no-change,428.1
Bryce Gibbs,Carlton,Midfielder,no-change,391.9
Sam Docherty,Carlton,Small/Medium Defender,no-change,391.6
Matthew Wright,Carlton,Small/Medium Forward,no-change,373.1
Ed Curnow,Carlton,Midfielder,up,355.7
Marc Murphy,Carlton,Midfielder,down,334
Zach Tuohy,Carlton,Small/Medium Defender,down,329.5
Matthew Kreuzer,Carlton,Ruck,down,321.1
Andrejs Everitt,Carlton,Small/Medium Forward,up,295.1
Sam Rowe,Carlton,Key Defender,down,276.4
Dennis Armfield,Carlton,Small/Medium Forward,up,252.5
Simon White,Carlton,Key Defender,up,211.3
Levi Casboult,Carlton,Key Forward,down,195.5
Dale Thomas,Carlton,Midfielder,down,185.8
Jacob Weitering,Carlton,Key Defender,down,179
Dylan Buckley,Carlton,Small/Medium Defender,down,162.5
Cameron Wood,Carlton,Ruck,down,158.9
Andrew Phillips,Carlton,Ruck,down,158.6
Lachie Plowman,Carlton,Key Defender,down,155.7
Sam Kerridge,Carlton,Midfielder,down,145.5
Andrew Walker,Carlton,Small/Medium Forward,down,141.1
Nick Graham,Carlton,Midfielder/Forward,no-change,124.5
Blaine Boekhorst,Carlton,Midfielder/Forward,no-change,121.8
Liam Jones,Carlton,Key Forward,down,116.8
Michael Jamison,Carlton,Key Defender,no-change,102.8
Liam Sumner,Carlton,Small/Medium Forward,no-change,102.2
Ciaran Byrne,Carlton,Small/Medium Defender,no-change,95.1
Jed Lamb,Carlton,Small/Medium Forward,no-change,86.8
Jason Tutt,Carlton,Midfielder/Forward,no-change,83.4
Jack Silvagni,Carlton,Small/Medium Forward,no-change,46.6
Daniel Gorringe,Carlton,Ruck,no-change,43.7
Charlie Curnow,Carlton,Key Forward,no-change,42.1
Kristian Jaksch,Carlton,Key Defender,no-change,37.2
Mark Whiley,Carlton,Midfielder,no-change,35.6
Matthew Dick,Carlton,Small/Medium Defender,up,25.4
Clem Smith,Carlton,Small/Medium Forward,no-change,17.3
David Cuningham,Carlton,Midfielder,no-change,13.3
Ciaran Sheehan,Carlton,Small/Medium Defender,down,9.4
Jayden Foster,Carlton,Key Defender,no-change,0
Andrew Gallucci,Carlton,Small/Medium Forward,no-change,0
Jesse Glass-McCasker,Carlton,Key Defender,no-change,0
Billy Gowers,Carlton,Small/Medium Defender,no-change,0
Matt Korcheck,Carlton,Ruck,no-change,0
Harry McKay,Carlton,Key Forward,no-change,0
Dillon Viojo-Rainbow,Carlton,Small/Medium Defender,no-change,0
