Name,Club,Position,Trend,Points
Scott Pendlebury,Collingwood,Midfielder,no-change,613.1
Adam Treloar,Collingwood,Midfielder,no-change,513.5
Steele Sidebottom,Collingwood,Midfielder,no-change,445.3
Jack Crisp,Collingwood,Midfielder,up,412.8
Taylor Adams,Collingwood,Midfielder,no-change,392
Brodie Grundy,Collingwood,Ruck,no-change,389.9
Jeremy Howe,Collingwood,Small/Medium Defender,down,368.9
Alex Fasolo,Collingwood,Small/Medium Forward,down,330.7
Jarryd Blair,Collingwood,Small/Medium Forward,down,317.4
Jesse White,Collingwood,Key Forward,down,316.7
Travis Varcoe,Collingwood,Small/Medium Forward,no-change,306.9
Marley Williams,Collingwood,Small/Medium Defender,up,291.1
Jordan De Goey,Collingwood,Midfielder/Forward,up,288.9
Tom Langdon,Collingwood,Small/Medium Defender,up,284.4
Dane Swan,Collingwood,Midfielder,no-change,279
Levi Greenwood,Collingwood,Midfielder,up,264.8
Adam Oxley,Collingwood,Midfielder,up,254.8
Nathan J. Brown,Collingwood,Key Defender,no-change,241.3
Travis Cloke,Collingwood,Key Forward,no-change,237.6
Jack Frost,Collingwood,Key Defender,no-change,219.9
James Aish,Collingwood,Midfielder,up,210.7
Ben Reid,Collingwood,Key Defender,no-change,205.2
Alan Toovey,Collingwood,Small/Medium Defender,no-change,205
Jamie Elliott,Collingwood,Small/Medium Forward,down,196.1
Darcy Moore,Collingwood,Key Forward,down,193
Brayden Maynard,Collingwood,Small/Medium Defender,down,188.7
Tyson Goldsack,Collingwood,Small/Medium Defender,up,169.1
Ben Sinclair,Collingwood,Small/Medium Defender,down,161.6
Josh Smith,Collingwood,Small/Medium Defender,no-change,128
Jonathon Marsh,Collingwood,Key Defender,down,116.2
Jarrod Witts,Collingwood,Ruck,down,116.1
Tim Broomhead,Collingwood,Midfielder/Forward,down,115.2
Mason Cox,Collingwood,Key Forward,no-change,94.2
Jackson Ramsay,Collingwood,Small/Medium Defender,no-change,67
Rupert Wills,Collingwood,Midfielder,no-change,60.3
Ben Crocker,Collingwood,Small/Medium Forward,no-change,49
Tom Phillips,Collingwood,Midfielder/Forward,no-change,39.3
Brent Macaffer,Collingwood,Small/Medium Forward,no-change,21.2
Corey Gault,Collingwood,Key Forward,no-change,20.6
Lachlan Keeffe,Collingwood,Key Defender,up,11.3
Matthew Scharenberg,Collingwood,Small/Medium Defender,no-change,10.8
Josh Thomas,Collingwood,Midfielder/Forward,down,4.2
Matthew Goodyear,Collingwood,Small/Medium Forward,no-change,2.8
Tim Golds,Collingwood,Midfielder/Forward,down,2.2
Brayden Sier,Collingwood,Midfielder,no-change,0
Darrean Wyatt,Collingwood,Key Forward,no-change,0
