Name,Club,Position,Trend,Points
Zach Merrett,Essendon,Midfielder/Forward,up,461.6
Brendon Goddard,Essendon,Midfielder,up,415.2
David Zaharakis,Essendon,Midfielder,up,355.7
Joe Daniher,Essendon,Key Forward,no-change,313
James Kelly,Essendon,Small/Medium Defender,up,299.7
Dyson Heppell,Essendon,Midfielder,up,299
Martin Gleeson,Essendon,Small/Medium Defender,down,278.1
Mark Baguley,Essendon,Small/Medium Defender,no-change,265
Brent Stanton,Essendon,Midfielder,no-change,246
Orazio Fantasia,Essendon,Small/Medium Forward,no-change,244.6
Adam Cooney,Essendon,Midfielder/Forward,up,233.2
Anthony McDonald-Tipungwuti,Essendon,Small/Medium Defender,up,229.1
Cale Hooker,Essendon,Key Defender,up,228.7
Matthew Leuenberger,Essendon,Ruck,up,226.5
Courtenay Dempsey,Essendon,Small/Medium Defender,no-change,223.2
Ben Howlett,Essendon,Midfielder/Forward,no-change,215.2
Patrick Ambrose,Essendon,Key Defender,no-change,215.1
James Gwilt,Essendon,Key Defender,up,212.6
Craig Bird,Essendon,Midfielder,down,208.5
Michael Hurley,Essendon,Key Defender,no-change,205.5
Michael Hibberd,Essendon,Small/Medium Defender,down,199.1
Mathew Stokes,Essendon,Midfielder/Forward,down,194.6
Matt Dea,Essendon,Small/Medium Defender,down,189.4
Darcy Parish,Essendon,Midfielder,down,184.1
Michael Hartley,Essendon,Key Defender,down,176.7
Jackson Merrett,Essendon,Small/Medium Forward,down,174.4
Jobe Watson,Essendon,Midfielder,down,153.9
Kyle Langford,Essendon,Small/Medium Forward,down,152.8
Shaun McKernan,Essendon,Ruck,no-change,148
Mitch Brown,Essendon,Key Forward,down,144.2
Travis Colyer,Essendon,Small/Medium Forward,down,115
Conor McKenna,Essendon,Small/Medium Defender,no-change,98.3
Jayden Laverde,Essendon,Small/Medium Forward,no-change,92.2
Shaun Edwards,Essendon,Small/Medium Forward,no-change,85
Mark Jamar,Essendon,Ruck,no-change,78.5
Tom Bellchambers,Essendon,Ruck,no-change,61.1
Will Hams,Essendon,Small/Medium Forward,no-change,56.9
Heath Hocking,Essendon,Midfielder,no-change,53.9
James Polkinghorne,Essendon,Small/Medium Forward,no-change,42.1
Ryan Crowley,Essendon,Midfielder,no-change,38.3
Jonathan Simpkin,Essendon,Midfielder/Forward,no-change,37.6
Jason Ashby,Essendon,Small/Medium Defender,up,25
Aaron Francis,Essendon,Small/Medium Defender,up,24.9
Sam Grimley,Essendon,Key Forward,no-change,18.8
Mason Redman,Essendon,Small/Medium Forward,no-change,17.4
Jake Long,Essendon,Midfielder,no-change,11.6
Nick Kommer,Essendon,Small/Medium Forward,no-change,11
Tayte Pears,Essendon,Key Defender,no-change,10.9
Nathan Grima,Essendon,Key Defender,no-change,8.8
Sam Michael,Essendon,Ruck,no-change,8.6
David Myers,Essendon,Midfielder,no-change,5.9
Yestin Eades,Essendon,Small/Medium Forward,no-change,0
Alex Morgan,Essendon,Small/Medium Defender,no-change,0
Gach Nyuon,Essendon,Ruck,no-change,0
Tom Wallis,Essendon,Midfielder,no-change,0
