Name,Club,Position,Trend,Points
Nat Fyfe,Fremantle,Midfielder,no-change,469
Lachie Neale,Fremantle,Midfielder,up,460.2
David Mundy,Fremantle,Midfielder,up,452
Michael Walters,Fremantle,Small/Medium Forward,up,438.6
Stephen Hill,Fremantle,Midfielder,up,436.3
Aaron Sandilands,Fremantle,Ruck,up,413
Michael Barlow,Fremantle,Midfielder/Forward,no-change,357.8
Matthew Pavlich,Fremantle,Key Forward,down,325.3
Chris Mayne,Fremantle,Small/Medium Forward,no-change,303.4
Danyle Pearce,Fremantle,Midfielder,no-change,280.4
Garrick Ibbotson,Fremantle,Small/Medium Defender,up,270.2
Hayden Ballantyne,Fremantle,Small/Medium Forward,up,267.4
Nick Suban,Fremantle,Midfielder,up,260
Lee Spurr,Fremantle,Small/Medium Defender,no-change,240.4
Tommy Sheridan,Fremantle,Small/Medium Defender,up,233.3
Cameron Sutcliffe,Fremantle,Small/Medium Defender,up,232.1
Harley Bennell,Fremantle,Midfielder/Forward,no-change,205.4
Matt Taberner,Fremantle,Key Forward,down,196.5
Lachie Weller,Fremantle,Small/Medium Forward,down,194.9
Zac Clarke,Fremantle,Ruck,down,183
Jonathon Griffin,Fremantle,Ruck,down,182.3
Clancee Pearce,Fremantle,Small/Medium Defender,down,179.1
Michael Johnson,Fremantle,Key Defender,down,176.6
Hayden Crozier,Fremantle,Small/Medium Forward,down,150.4
Matt de Boer,Fremantle,Midfielder/Forward,down,144.4
Alex Pearce,Fremantle,Key Defender,down,139.4
Connor Blakely,Fremantle,Midfielder,down,139.3
Zac Dawson,Fremantle,Key Defender,no-change,131.4
Sam Collins,Fremantle,Small/Medium Defender,down,117.1
Ed Langdon,Fremantle,Midfielder/Forward,no-change,106.6
Tendai Mzungu,Fremantle,Midfielder,no-change,76.6
Darcy Tucker,Fremantle,Midfielder,no-change,71.3
Ethan Hughes,Fremantle,Small/Medium Defender,no-change,44.1
Shane Yarran,Fremantle,Small/Medium Forward,no-change,42.5
Alex Silvagni,Fremantle,Key Defender,no-change,39
Michael Apeness,Fremantle,Key Forward,no-change,37.8
Brady Grey,Fremantle,Small/Medium Forward,no-change,34.1
Jack Hannath,Fremantle,Ruck,no-change,32.3
Tanner Smith,Fremantle,Key Defender,no-change,17.2
Anthony Morabito,Fremantle,Midfielder/Forward,down,7
Patrick Dangerfield,GEEL,Midfielder,NO_CHANGE,727.7
Josh P. Kennedy,SYD,Midfielder,CLIMBING,633.9
Robbie Gray,PORT,Midfielder/Forward,FALLING,626.8
Scott Pendlebury,COLL,Midfielder,NO_CHANGE,613.1
Marcus Bontempelli,WB,Midfielder,NO_CHANGE,609.4
Todd Goldstein,NMFC,Ruck,NO_CHANGE,592.9
Nic Naitanui,WCE,Ruck,NO_CHANGE,583.7
Rory Sloane,ADEL,Midfielder,NO_CHANGE,579.7
Cyril Rioli,HAW,Small/Medium Forward,NO_CHANGE,554.4
Dayne Zorko,BL,Midfielder/Forward,NO_CHANGE,551.1
Luke Parker,SYD,Midfielder,NO_CHANGE,541.5
Joel Selwood,GEEL,Midfielder,NO_CHANGE,533.5
Max Gawn,MELB,Ruck,NO_CHANGE,529.2
Jack Steven,STK,Midfielder,CLIMBING,522.8
Dan Hannebery,SYD,Midfielder,FALLING,520.3
Matt Priddis,WCE,Midfielder,NO_CHANGE,518.1
Lance Franklin,SYD,Key Forward,NO_CHANGE,517.1
Adam Treloar,COLL,Midfielder,NO_CHANGE,513.5
Dylan Shiel,GWS,Midfielder,NO_CHANGE,509.4
Luke Shuey,WCE,Midfielder,NO_CHANGE,500.4
Callan Ward,GWS,Midfielder,NO_CHANGE,499.2
Chad Wingard,PORT,Small/Medium Forward,NO_CHANGE,488.7
Sam Mitchell,HAW,Midfielder,NO_CHANGE,485.1
Brent Harvey,NMFC,Small/Medium Forward,NO_CHANGE,482.3
Tom J. Lynch,GCFC,Key Forward,NO_CHANGE,479.9
Travis Boak,PORT,Midfielder,NO_CHANGE,477.8
Alex Rance,RICH,Key Defender,NO_CHANGE,476.7
Eddie Betts,ADEL,Small/Medium Forward,NO_CHANGE,475.4
Nat Fyfe,FRE,Midfielder,NO_CHANGE,469.0
Dustin Martin,RICH,Midfielder/Forward,NO_CHANGE,467.9
Justin Westhoff,PORT,Key Forward,NO_CHANGE,466.3
Zach Merrett,ESS,Midfielder/Forward,CLIMBING,461.6
Tom Lynch,ADEL,Small/Medium Forward,CLIMBING,460.6
Lachie Neale,FRE,Midfielder,CLIMBING,460.2
Jake Stringer,WB,Small/Medium Forward,FALLING,460.2
Heath Shaw,GWS,Small/Medium Defender,NO_CHANGE,459.9
Shaun Burgoyne,HAW,Small/Medium Defender,NO_CHANGE,457.7
Josh J. Kennedy,WCE,Key Forward,NO_CHANGE,456.2
Trent Cotchin,RICH,Midfielder,NO_CHANGE,452.9
David Mundy,FRE,Midfielder,CLIMBING,452.0
