Name,Club,Position,Trend,Points
Dylan Shiel,GWS Giants,Midfielder,no-change,509.4
Callan Ward,GWS Giants,Midfielder,no-change,499.2
Heath Shaw,GWS Giants,Small/Medium Defender,no-change,459.9
Shane Mumford,GWS Giants,Ruck,up,450.1
Toby Greene,GWS Giants,Midfielder/Forward,up,446.4
Zac Williams,GWS Giants,Small/Medium Defender,no-change,440.6
Ryan Griffen,GWS Giants,Midfielder,up,424.1
Tom Scully,GWS Giants,Midfielder,up,421.8
Stephen Coniglio,GWS Giants,Midfielder,up,408.3
Josh Kelly,GWS Giants,Midfielder,no-change,398.2
Devon Smith,GWS Giants,Small/Medium Forward,no-change,394.9
Jeremy Cameron,GWS Giants,Key Forward,down,371.4
Nick Haynes,GWS Giants,Key Defender,no-change,370.8
Steve Johnson,GWS Giants,Small/Medium Forward,down,368.6
Phil Davis,GWS Giants,Key Defender,up,350.2
Rory Lobb,GWS Giants,Key Forward,down,338.3
Lachie Whitfield,GWS Giants,Midfielder,down,333
Nathan Wilson,GWS Giants,Small/Medium Defender,up,282.6
Joel Patfull,GWS Giants,Key Defender,no-change,244.2
Rhys Palmer,GWS Giants,Small/Medium Forward,up,211.5
Matt Buntine,GWS Giants,Small/Medium Defender,down,174
Jonathon Patton,GWS Giants,Key Forward,down,172.9
Adam Tomlinson,GWS Giants,Key Defender,no-change,168.5
Aidan Corr,GWS Giants,Key Defender,down,157.6
Jack Steele,GWS Giants,Midfielder/Forward,down,137.3
Cam McCarthy,GWS Giants,Key Forward,no-change,132.3
Adam Kennedy,GWS Giants,Small/Medium Defender,down,119.2
Jacob Hopper,GWS Giants,Midfielder/Forward,no-change,83.4
James Stewart,GWS Giants,Key Forward,no-change,78.1
Tom Downie,GWS Giants,Ruck,no-change,60.8
Will Hoskin-Elliott,GWS Giants,Small/Medium Forward,no-change,48.8
Sam J. Reid,GWS Giants,Midfielder,no-change,42.3
Caleb Marchbank,GWS Giants,Key Defender,no-change,37
Harrison Himmelberg,GWS Giants,Key Defender,no-change,33
Matthew Kennedy,GWS Giants,Small/Medium Forward,no-change,19
Dawson Simpson,GWS Giants,Ruck,no-change,18.3
Tim Mohr,GWS Giants,Key Defender,no-change,4.5
Jake Barrett,GWS Giants,Midfielder,no-change,2.4
Paul Ahern,GWS Giants,Midfielder,no-change,0
Jeremy Finlayson,GWS Giants,Key Defender,no-change,0
Matthew Flynn,GWS Giants,Ruck,no-change,0
Daniel Lloyd,GWS Giants,Small/Medium Forward,no-change,0
Pat McKenna,GWS Giants,Small/Medium Defender,no-change,0
Jarrod Pickett,GWS Giants,Midfielder/Forward,no-change,0
