Name,Club,Position,Trend,Points
Patrick Dangerfield,Geelong Cats,Midfielder,no-change,727.7
Joel Selwood,Geelong Cats,Midfielder,no-change,533.5
Corey Enright,Geelong Cats,Small/Medium Defender,up,433.3
Tom Hawkins,Geelong Cats,Key Forward,no-change,428.4
Cameron Guthrie,Geelong Cats,Midfielder,no-change,428
Josh Caddy,Geelong Cats,Midfielder,up,423.8
Steven Motlop,Geelong Cats,Small/Medium Forward,no-change,386.8
Mark Blicavs,Geelong Cats,Midfielder,down,384.2
Mitch Duncan,Geelong Cats,Midfielder,down,382.6
Harry Taylor,Geelong Cats,Key Defender,down,368.7
Zac Smith,Geelong Cats,Ruck,no-change,344.6
Lachie Henderson,Geelong Cats,Key Defender,no-change,344.1
Jimmy Bartel,Geelong Cats,Midfielder,down,320.4
Rhys Stanley,Geelong Cats,Ruck,up,294.9
Tom Lonergan,Geelong Cats,Key Defender,up,293.8
Andrew Mackie,Geelong Cats,Small/Medium Defender,no-change,278.8
Darcy Lang,Geelong Cats,Small/Medium Forward,up,256.7
Daniel Menzel,Geelong Cats,Small/Medium Forward,no-change,218.1
Cory Gregson,Geelong Cats,Small/Medium Forward,no-change,214.3
Jordan Murdoch,Geelong Cats,Midfielder/Forward,up,210.8
Shane Kersten,Geelong Cats,Key Forward,down,187
Jake Kolodjashnij,Geelong Cats,Key Defender,no-change,168.6
Jed Bews,Geelong Cats,Small/Medium Defender,down,150.7
Jackson Thurlow,Geelong Cats,Small/Medium Defender,down,134.6
Lincoln McCarthy,Geelong Cats,Small/Medium Forward,no-change,133.7
Scott Selwood,Geelong Cats,Midfielder,down,117.3
Sam Menegola,Geelong Cats,Midfielder,down,115.4
Tom Ruggles,Geelong Cats,Small/Medium Defender,down,107.8
Nakia Cockatoo,Geelong Cats,Small/Medium Forward,no-change,105.2
Josh Cowan,Geelong Cats,Midfielder,no-change,73.7
Mitch Clark,Geelong Cats,Key Forward,no-change,60.9
George Horlin-Smith,Geelong Cats,Midfielder/Forward,no-change,58.1
Nathan Vardy,Geelong Cats,Ruck,no-change,38.5
Billie Smedts,Geelong Cats,Small/Medium Defender,no-change,16.9
Michael Luxford,Geelong Cats,Small/Medium Forward,no-change,6.2
Zac Bates,Geelong Cats,Small/Medium Forward,no-change,0
Wylie Buzza,Geelong Cats,Key Defender,no-change,0
Jock Cornell,Geelong Cats,Small/Medium Forward,no-change,0
Jordan Cunico,Geelong Cats,Midfielder,no-change,0
Cameron Delaney,Geelong Cats,Key Defender,no-change,0
Ryan Gardner,Geelong Cats,Key Defender,no-change,0
Matthew Hayball,Geelong Cats,Midfielder,no-change,0
Padraig Lucey,Geelong Cats,Ruck,no-change,0
James Parsons,Geelong Cats,Midfielder,no-change,0
Tom Read,Geelong Cats,Key Forward,no-change,0
