Name,Club,Position,Trend,Points
Cyril Rioli,Hawthorn,Small/Medium Forward,no-change,554.4
Sam Mitchell,Hawthorn,Midfielder,no-change,485.1
Shaun Burgoyne,Hawthorn,Small/Medium Defender,no-change,457.7
Luke Breust,Hawthorn,Small/Medium Forward,up,447.1
Luke Hodge,Hawthorn,Midfielder,down-fast,445.2
Jack Gunston,Hawthorn,Key Forward,no-change,426.1
Paul Puopolo,Hawthorn,Small/Medium Forward,up,423.3
Liam Shiels,Hawthorn,Midfielder,no-change,389.9
Jordan Lewis,Hawthorn,Midfielder,no-change,378.2
Josh Gibson,Hawthorn,Key Defender,down,372.4
Ben McEvoy,Hawthorn,Ruck,down,371.7
Grant Birchall,Hawthorn,Small/Medium Defender,up,351.2
Jarryd Roughead,Hawthorn,Key Forward,down,349.6
Bradley Hill,Hawthorn,Midfielder,no-change,349.5
Isaac Smith,Hawthorn,Midfielder/Forward,up,299.3
James Frawley,Hawthorn,Key Defender,up,281.3
Will Langford,Hawthorn,Midfielder,down,278.7
Billy Hartung,Hawthorn,Midfielder,down,277.8
Jonathon Ceglar,Hawthorn,Ruck,down,276.7
Taylor Duryea,Hawthorn,Small/Medium Defender,up,254.6
Ben Stratton,Hawthorn,Small/Medium Defender,no-change,234.6
James Sicily,Hawthorn,Small/Medium Forward,no-change,207.8
Ryan Schoenmakers,Hawthorn,Key Forward,no-change,169.3
Brendan Whitecross,Hawthorn,Small/Medium Forward,no-change,102.2
Daniel Howe,Hawthorn,Small/Medium Defender,no-change,97.4
Tim O'Brien,Hawthorn,Key Forward,no-change,92.3
Angus Litherland,Hawthorn,Small/Medium Defender,no-change,75.1
Jonathan O'Rourke,Hawthorn,Midfielder,no-change,74.9
Kaiden Brand,Hawthorn,Key Defender,no-change,71.5
Jack Fitzpatrick,Hawthorn,Key Defender,no-change,46.5
Kade Stewart,Hawthorn,Small/Medium Forward,no-change,33.3
Matt Spangher,Hawthorn,Key Defender,down,22.9
Ryan Burton,Hawthorn,Key Forward,no-change,22.7
Marc Pittonet,Hawthorn,Ruck,no-change,18.7
Kieran Lovell,Hawthorn,Small/Medium Forward,no-change,17
Alex Woodward,Hawthorn,Small/Medium Forward,down,9.7
Kurt Heatherley,Hawthorn,Key Defender,no-change,9
Blake Hardwick,Hawthorn,Small/Medium Forward,no-change,1.3
Conor Glass,Hawthorn,Small/Medium Defender,no-change,0
Lachlan Langford,Hawthorn,Small/Medium Forward,no-change,0
Teia Miles,Hawthorn,Small/Medium Forward,no-change,0
Jermaine Miller-Lewis,Hawthorn,Small/Medium Defender,no-change,0
Luke Surman,Hawthorn,Key Defender,no-change,0
Shem-Kalvin Tatupu,Hawthorn,Key Forward,no-change,0
Zac Webster,Hawthorn,Small/Medium Forward,no-change,0
Dallas Willsmore,Hawthorn,Small/Medium Forward,no-change,0
