Name,Club,Position,Trend,Points
Max Gawn,Melbourne,Ruck,no-change,529.2
Tom McDonald,Melbourne,Key Defender,up,446.8
Jack Viney,Melbourne,Midfielder,up,435.2
Nathan Jones,Melbourne,Midfielder,no-change,427.2
Bernie Vince,Melbourne,Midfielder,no-change,377.9
Jack Watts,Melbourne,Small/Medium Forward,up,363.4
Dom Tyson,Melbourne,Midfielder,up,349.8
Jeff Garlett,Melbourne,Small/Medium Forward,no-change,345.5
Neville Jetta,Melbourne,Small/Medium Defender,no-change,340.7
Jesse Hogan,Melbourne,Key Forward,down,306.1
Angus Brayshaw,Melbourne,Midfielder/Forward,up,266.1
Aaron Vandenberg,Melbourne,Midfielder/Forward,no-change,245.7
Tomas Bugg,Melbourne,Small/Medium Defender,no-change,236.3
Lynden Dunn,Melbourne,Key Defender,up,231.1
Dean Kent,Melbourne,Small/Medium Forward,up,229
James Harmes,Melbourne,Small/Medium Forward,no-change,215.5
Colin Garland,Melbourne,Small/Medium Defender,up,208.9
Christian Petracca,Melbourne,Small/Medium Forward,down,196
Billy Stretch,Melbourne,Midfielder,down,187
Heritier Lumumba,Melbourne,Small/Medium Defender,down,186.4
Jayden Hunt,Melbourne,Small/Medium Defender,down,186.2
Jake Melksham,Melbourne,Midfielder,down,160.1
Ben Kennedy,Melbourne,Small/Medium Forward,down,151.4
Matt Jones,Melbourne,Midfielder/Forward,no-change,148.7
Cameron Pedersen,Melbourne,Key Forward,no-change,148.1
Ben Newton,Melbourne,Midfielder/Forward,down,144.2
Christian Salem,Melbourne,Small/Medium Defender,down,135.8
Oscar McDonald,Melbourne,Key Defender,down,135.7
Clayton Oliver,Melbourne,Midfielder,no-change,130.1
Viv Michie,Melbourne,Midfielder,no-change,123.1
Jack Grimes,Melbourne,Small/Medium Defender,down,119
Chris Dawes,Melbourne,Key Forward,down,117.6
Sam Frost,Melbourne,Key Defender,down,113.1
Josh Wagner,Melbourne,Small/Medium Defender,no-change,103.5
Alex Neal-Bullen,Melbourne,Midfielder/Forward,no-change,78.2
Jake Spencer,Melbourne,Ruck,down,62.1
Jay Kennedy-Harris,Melbourne,Small/Medium Forward,up,29
Jack Trengove,Melbourne,Midfielder,no-change,21.4
Mitch White,Melbourne,Small/Medium Defender,no-change,18.6
Sam Weideman,Melbourne,Key Forward,no-change,16.9
Dean Terlich,Melbourne,Small/Medium Defender,down,9.9
Liam Hulett,Melbourne,Key Forward,no-change,0
Mitchell King,Melbourne,Ruck,no-change,0
Max King,Melbourne,Ruck,no-change,0
Joel Smith,Melbourne,Small/Medium Forward,no-change,0
