Name,Club,Position,Trend,Points
Todd Goldstein,North Melbourne,Ruck,no-change,592.9
Brent Harvey,North Melbourne,Small/Medium Forward,no-change,482.3
Ben Cunnington,North Melbourne,Midfielder,down,443.2
Jack Ziebell,North Melbourne,Midfielder,down,384.8
Andrew Swallow,North Melbourne,Midfielder,no-change,380.8
Shaun Higgins,North Melbourne,Small/Medium Forward,no-change,378.7
Nick Dal Santo,North Melbourne,Midfielder,no-change,369.5
Jamie Macmillan,North Melbourne,Small/Medium Defender,up,363
Jarrad Waite,North Melbourne,Key Forward,no-change,345.8
Ben Brown,North Melbourne,Key Forward,down,323.6
Robbie Tarrant,North Melbourne,Key Defender,down,319
Lindsay Thomas,North Melbourne,Small/Medium Forward,up,294.6
Drew Petrie,North Melbourne,Key Forward,up,293.8
Shaun Atley,North Melbourne,Small/Medium Defender,up,290.7
Scott D. Thompson,North Melbourne,Key Defender,up,289.7
Sam Gibson,North Melbourne,Midfielder,up,284.7
Michael Firrito,North Melbourne,Key Defender,no-change,281.2
Daniel Wells,North Melbourne,Midfielder,up,255.2
Sam Wright,North Melbourne,Small/Medium Defender,no-change,242.8
Robin Nahas,North Melbourne,Small/Medium Forward,no-change,200
Luke McDonald,North Melbourne,Small/Medium Defender,down,198.3
Ben Jacobs,North Melbourne,Midfielder,down,183.7
Trent Dumont,North Melbourne,Midfielder,down,164.3
Lachlan Hansen,North Melbourne,Key Defender,no-change,122.5
Mason Wood,North Melbourne,Small/Medium Forward,down,121.1
Brad McKenzie,North Melbourne,Small/Medium Defender,down,111
Majak Daw,North Melbourne,Key Forward,down,95.5
Kayne Turner,North Melbourne,Small/Medium Forward,no-change,94.6
Aaron Mullett,North Melbourne,Small/Medium Defender,no-change,88.4
Jed Anderson,North Melbourne,Small/Medium Forward,no-change,80
Taylor Garner,North Melbourne,Small/Medium Forward,no-change,79.4
Farren Ray,North Melbourne,Midfielder,no-change,60
Ryan Clarke,North Melbourne,Midfielder,no-change,38.1
Corey Wagner,North Melbourne,Small/Medium Forward,no-change,18.6
Aaron Black,North Melbourne,Key Forward,no-change,16.7
Joel Tippett,North Melbourne,Key Defender,no-change,10.2
Sam Durdin,North Melbourne,Key Forward,no-change,0
Will Fordham,North Melbourne,Midfielder,no-change,0
Mitchell Hibberd,North Melbourne,Midfielder,no-change,0
Ben McKay,North Melbourne,Key Forward,no-change,0
Declan Mountford,North Melbourne,Midfielder,no-change,0
Daniel Nielson,North Melbourne,Key Defender,no-change,0
Braydon Preuss,North Melbourne,Ruck,no-change,0
Ed Vickers-Willis,North Melbourne,Small/Medium Defender,no-change,0
