Name,Club,Position,Trend,Points
Robbie Gray,Port Adelaide,Midfielder/Forward,down,626.8
Chad Wingard,Port Adelaide,Small/Medium Forward,no-change,488.7
Travis Boak,Port Adelaide,Midfielder,no-change,477.8
Justin Westhoff,Port Adelaide,Key Forward,no-change,466.3
Ollie Wines,Port Adelaide,Midfielder,up,436.8
Jasper Pittard,Port Adelaide,Small/Medium Defender,no-change,392
Hamish Hartlett,Port Adelaide,Midfielder,no-change,375.6
Matthew Broadbent,Port Adelaide,Small/Medium Defender,up,362.6
Brad Ebert,Port Adelaide,Midfielder,no-change,358.1
Jackson Trengove,Port Adelaide,Key Defender,down,331.8
Nathan Krakouer,Port Adelaide,Small/Medium Defender,down,328.8
Charlie Dixon,Port Adelaide,Key Forward,down,317.8
Sam Gray,Port Adelaide,Midfielder/Forward,up,292.4
Jack Hombsch,Port Adelaide,Key Defender,up,290.9
Aaron Young,Port Adelaide,Small/Medium Forward,up,290.7
Jarman Impey,Port Adelaide,Small/Medium Defender,down,275
Jake Neade,Port Adelaide,Small/Medium Forward,no-change,243.8
Jared Polec,Port Adelaide,Midfielder,up,229.3
Jay Schulz,Port Adelaide,Key Forward,up,224.4
Patrick Ryder,Port Adelaide,Ruck,no-change,203.4
Matthew Lobbe,Port Adelaide,Ruck,down,198.3
Tom Jonas,Port Adelaide,Small/Medium Defender,down,191.8
Brendon Ah Chee,Port Adelaide,Midfielder/Forward,down,191
Karl Amon,Port Adelaide,Midfielder/Forward,down,179.6
Matthew White,Port Adelaide,Midfielder/Forward,down,151.6
Darcy Byrne-Jones,Port Adelaide,Small/Medium Defender,no-change,148.8
Angus Monfries,Port Adelaide,Small/Medium Forward,no-change,128.3
Paul Stewart,Port Adelaide,Small/Medium Defender,down,121.4
Jimmy Toumpas,Port Adelaide,Midfielder,down,110.1
Tom Clurey,Port Adelaide,Small/Medium Defender,no-change,106
Cam O'Shea,Port Adelaide,Small/Medium Defender,no-change,102.2
Alipate Carlile,Port Adelaide,Key Defender,no-change,94.3
Logan Austin,Port Adelaide,Key Defender,no-change,74.3
Kane Mitchell,Port Adelaide,Midfielder,no-change,61.2
John Butcher,Port Adelaide,Key Forward,no-change,43.8
Sam Colquhoun,Port Adelaide,Midfielder,no-change,40.2
Dougal Howard,Port Adelaide,Key Forward,up,27.1
Jesse Palmer,Port Adelaide,Small/Medium Forward,no-change,10.3
Will Snelling,Port Adelaide,Midfielder,no-change,8.6
Riley Bonner,Port Adelaide,Small/Medium Defender,no-change,7.6
Billy Frampton,Port Adelaide,Ruck,no-change,0
Cameron Hewett,Port Adelaide,Midfielder,no-change,0
Dan Houston,Port Adelaide,Small/Medium Forward,no-change,0
Aidyn Johnson,Port Adelaide,Small/Medium Forward,no-change,0
