Name,Club,Position,Trend,Points
Alex Rance,Richmond,Key Defender,no-change,476.7
Dustin Martin,Richmond,Midfielder/Forward,no-change,467.9
Trent Cotchin,Richmond,Midfielder,no-change,452.9
Anthony Miles,Richmond,Midfielder,no-change,426.8
Shane Edwards,Richmond,Midfielder/Forward,up,421.8
Jack Riewoldt,Richmond,Key Forward,no-change,416.3
Brett Deledio,Richmond,Small/Medium Forward,no-change,378.8
Shaun Grigg,Richmond,Midfielder,no-change,341.3
Nick Vlastuin,Richmond,Small/Medium Defender,down,304.8
Ivan Maric,Richmond,Ruck,up,296.9
Bachar Houli,Richmond,Small/Medium Defender,up,285.1
Ty Vickery,Richmond,Key Forward,up,283.6
Sam Lloyd,Richmond,Small/Medium Forward,down,276.2
Brandon Ellis,Richmond,Midfielder,up,268.5
Troy Chaplin,Richmond,Key Defender,up,258.2
Kane Lambert,Richmond,Midfielder/Forward,up,230.3
Dylan Grimes,Richmond,Small/Medium Defender,no-change,219.8
Taylor Hunt,Richmond,Small/Medium Defender,no-change,217.5
Kamdyn McIntosh,Richmond,Midfielder,no-change,200.7
Shaun Hampson,Richmond,Ruck,down,197.3
David Astbury,Richmond,Key Defender,down,171.4
Ben Griffiths,Richmond,Key Forward,no-change,169.1
Jake Batchelor,Richmond,Small/Medium Defender,down,156.7
Daniel Rioli,Richmond,Small/Medium Forward,down,136.1
Steven Morris,Richmond,Small/Medium Defender,no-change,128.4
Chris Yarran,Richmond,Small/Medium Defender,down,112.3
Connor Menadue,Richmond,Midfielder,no-change,102.3
Corey Ellis,Richmond,Small/Medium Defender,no-change,84.9
Jayden Short,Richmond,Small/Medium Defender,no-change,83.7
Ben Lennon,Richmond,Small/Medium Forward,down,63.7
Andrew Moore,Richmond,Midfielder,no-change,56.4
Reece Conca,Richmond,Midfielder/Forward,no-change,50.6
Oleg Markov,Richmond,Small/Medium Defender,no-change,43.4
Jason Castagna,Richmond,Small/Medium Defender,no-change,31
Jacob Townsend,Richmond,Midfielder,up,27.2
Nathan Drummond,Richmond,Small/Medium Forward,up,25.7
Nathan Broad,Richmond,Small/Medium Defender,no-change,19.8
Adam Marcon,Richmond,Midfielder/Forward,no-change,10.5
Liam McBean,Richmond,Key Forward,no-change,9.7
Todd Elton,Richmond,Key Defender,no-change,8.8
Callum Moore,Richmond,Small/Medium Forward,no-change,7.4
Mabior Chol,Richmond,Key Forward,no-change,0.8
Dan Butler,Richmond,Small/Medium Forward,no-change,0
Reece McKenzie,Richmond,Key Forward,no-change,0
Ivan Soldo,Richmond,Ruck,no-change,0
