Name,Club,Position,Trend,Points
Jack Steven,St Kilda,Midfielder,up,522.8
David Armitage,St Kilda,Midfielder,up,449.5
Leigh Montagna,St Kilda,Small/Medium Defender,down,429.7
Jack Newnes,St Kilda,Midfielder,no-change,404.6
Shane Savage,St Kilda,Small/Medium Defender,no-change,386.2
Maverick Weller,St Kilda,Midfielder/Forward,up,361.1
Tom Hickey,St Kilda,Ruck,up,353.8
Nick Riewoldt,St Kilda,Key Forward,no-change,349.2
Sebastian Ross,St Kilda,Midfielder,no-change,340.2
Dylan Roberton,St Kilda,Small/Medium Defender,down,331.9
Luke Dunstan,St Kilda,Midfielder,down,322.4
Sam Gilbert,St Kilda,Small/Medium Defender,down,318.9
Sean Dempster,St Kilda,Small/Medium Defender,down,304.4
Jarryn Geary,St Kilda,Small/Medium Defender,down,304.2
Sam Fisher,St Kilda,Key Defender,up,269.9
Tim Membrey,St Kilda,Small/Medium Forward,up,261.6
Josh Bruce,St Kilda,Key Forward,no-change,244.3
Jimmy Webster,St Kilda,Small/Medium Defender,up,225.1
Jack Billings,St Kilda,Small/Medium Forward,no-change,223.3
Jack Sinclair,St Kilda,Small/Medium Forward,up,211.3
Blake Acres,St Kilda,Midfielder/Forward,down,194.7
Jack Lonie,St Kilda,Small/Medium Forward,down,192.9
Billy Longer,St Kilda,Ruck,down,170
Jade Gresham,St Kilda,Small/Medium Forward,up,168.9
Darren Minchington,St Kilda,Small/Medium Forward,down,144.1
Jake Carlisle,St Kilda,Key Forward,no-change,128.7
Daniel McKenzie,St Kilda,Midfielder,down,112.3
Nathan Wright,St Kilda,Small/Medium Defender,no-change,91.6
Cameron Shenton,St Kilda,Small/Medium Defender,no-change,90.6
Luke Delaney,St Kilda,Key Defender,no-change,76.5
Paddy McCartin,St Kilda,Key Forward,no-change,75.2
Hugh Goddard,St Kilda,Key Defender,no-change,66
Jason Holmes,St Kilda,Ruck,up,29.2
Eli Templeton,St Kilda,Small/Medium Forward,up,27.6
Tom Lee,St Kilda,Key Defender,up,25.2
Brodie Murdoch,St Kilda,Small/Medium Defender,no-change,19.9
Tom Curren,St Kilda,Small/Medium Forward,no-change,13.6
Brandon White,St Kilda,Small/Medium Defender,no-change,11.4
Lewis Pierce,St Kilda,Ruck,no-change,5.1
Josh Saunders,St Kilda,Small/Medium Forward,no-change,1.1
Nick Coughlan,St Kilda,Key Defender,no-change,0
Nathan Freeman,St Kilda,Midfielder,no-change,0
Nick O'Kearney,St Kilda,Midfielder,no-change,0
Brenton Payne,St Kilda,Midfielder/Forward,no-change,0
Bailey Rice,St Kilda,Small/Medium Defender,no-change,0
