Name,Club,Position,Trend,Points
Josh P. Kennedy,Sydney Swans,Midfielder,up,633.9
Luke Parker,Sydney Swans,Midfielder,no-change,541.5
Dan Hannebery,Sydney Swans,Midfielder,down,520.3
Lance Franklin,Sydney Swans,Key Forward,no-change,517.1
Dane Rampe,Sydney Swans,Small/Medium Defender,up,446.1
Jarrad McVeigh,Sydney Swans,Small/Medium Defender,down,431.4
Tom Mitchell,Sydney Swans,Midfielder,up,430.6
Kieren Jack,Sydney Swans,Midfielder,down,424.5
Kurt Tippett,Sydney Swans,Ruck,down,421.5
Isaac Heeney,Sydney Swans,Small/Medium Forward,up,369.5
Heath Grundy,Sydney Swans,Key Defender,up,338.5
Jake Lloyd,Sydney Swans,Midfielder,up,322.1
Gary Rohan,Sydney Swans,Small/Medium Forward,down,306.5
Jeremy Laidler,Sydney Swans,Small/Medium Defender,up,297.6
Harry Cunningham,Sydney Swans,Small/Medium Forward,down,275.1
Callum Sinclair,Sydney Swans,Ruck,up,267.9
Nick Smith,Sydney Swans,Small/Medium Defender,up,265.8
Ben McGlynn,Sydney Swans,Midfielder/Forward,down,246.2
Ted Richards,Sydney Swans,Key Defender,down,223.5
Callum Mills,Sydney Swans,Small/Medium Defender,up,199.4
Zak Jones,Sydney Swans,Small/Medium Defender,up,198.4
Dean Towers,Sydney Swans,Small/Medium Forward,down,180.4
Tom Papley,Sydney Swans,Small/Medium Forward,up,174.3
Sam Reid,Sydney Swans,Key Forward,down,167
George Hewett,Sydney Swans,Small/Medium Forward,up,158
Aliir Aliir,Sydney Swans,Key Defender,down,143.1
Sam Naismith,Sydney Swans,Ruck,up,119.2
Michael Talia,Sydney Swans,Key Defender,down,119.2
Xavier Richards,Sydney Swans,Key Forward,up,97.3
Toby Nankervis,Sydney Swans,Ruck,no-change,91.3
Daniel Robinson,Sydney Swans,Small/Medium Forward,no-change,74.6
Brandon Jack,Sydney Swans,Small/Medium Forward,no-change,61.2
Harrison Marsh,Sydney Swans,Small/Medium Defender,no-change,41.8
James Rose,Sydney Swans,Small/Medium Forward,no-change,33.4
Tom Derickx,Sydney Swans,Ruck,no-change,4.6
Jordan Foote,Sydney Swans,Midfielder,no-change,2.6
Jack Hiscox,Sydney Swans,Small/Medium Forward,no-change,0.2
Abe Davis,Sydney Swans,Midfielder,no-change,0
Jordan Dawson,Sydney Swans,Small/Medium Forward,no-change,0
Kyle Galloway,Sydney Swans,Ruck,no-change,0
Alex Johnson,Sydney Swans,Small/Medium Defender,no-change,0
Tyrone Leonardis,Sydney Swans,Small/Medium Defender,no-change,0
Lewis Melican,Sydney Swans,Key Defender,no-change,0
Sam Murray,Sydney Swans,Small/Medium Forward,no-change,0
Nic Newman,Sydney Swans,Small/Medium Defender,no-change,0
Colin O'Riordan,Sydney Swans,Small/Medium Defender,no-change,0
