Name,Club,Position,Trend,Points
Nic Naitanui,West Coast Eagles,Ruck,no-change,583.7
Matt Priddis,West Coast Eagles,Midfielder,no-change,518.1
Luke Shuey,West Coast Eagles,Midfielder,no-change,500.4
Josh J. Kennedy,West Coast Eagles,Key Forward,no-change,456.2
Jeremy McGovern,West Coast Eagles,Key Defender,up,432
Shannon Hurn,West Coast Eagles,Small/Medium Defender,no-change,391.9
Andrew Gaff,West Coast Eagles,Midfielder,down,383.3
Josh Hill,West Coast Eagles,Small/Medium Forward,no-change,373.2
Jamie Cripps,West Coast Eagles,Small/Medium Forward,up,354
Jack Darling,West Coast Eagles,Key Forward,up,352.9
Elliot Yeo,West Coast Eagles,Midfielder,down,329.9
Lewis Jetta,West Coast Eagles,Midfielder/Forward,down,322.2
Mark LeCras,West Coast Eagles,Small/Medium Forward,down,317.7
Sharrod Wellingham,West Coast Eagles,Small/Medium Defender,down,303.7
Chris Masten,West Coast Eagles,Midfielder,no-change,301.5
Brad Sheppard,West Coast Eagles,Small/Medium Defender,up,284.6
Mark Hutchings,West Coast Eagles,Midfielder,no-change,275.2
Jack Redden,West Coast Eagles,Midfielder,up,263
Sam Butler,West Coast Eagles,Small/Medium Defender,up,259.2
Scott Lycett,West Coast Eagles,Ruck,no-change,244.9
Will Schofield,West Coast Eagles,Key Defender,no-change,242.1
Dom Sheed,West Coast Eagles,Midfielder/Forward,up,230.7
Liam Duggan,West Coast Eagles,Midfielder/Forward,down,184.6
Thomas Barrass,West Coast Eagles,Small/Medium Defender,down,119.8
Eric Mackenzie,West Coast Eagles,Key Defender,down,108.1
Xavier Ellis,West Coast Eagles,Small/Medium Defender,no-change,91
Jackson Nelson,West Coast Eagles,Small/Medium Defender,no-change,83.2
Patrick McGinnity,West Coast Eagles,Small/Medium Forward,no-change,80.3
Jonathan Giles,West Coast Eagles,Ruck,no-change,77.4
Jamie Bennell,West Coast Eagles,Small/Medium Defender,no-change,58.2
Fraser McInnes,West Coast Eagles,Key Forward,no-change,50.1
Simon Tunbridge,West Coast Eagles,Small/Medium Forward,up,24.9
Mitchell Brown,West Coast Eagles,Key Defender,no-change,18.7
Kane Lucas,West Coast Eagles,Midfielder/Forward,down,8.1
Thomas Cole,West Coast Eagles,Small/Medium Defender,no-change,6.2
Tom Lamb,West Coast Eagles,Small/Medium Forward,no-change,5.5
Brant Colledge,West Coast Eagles,Midfielder,no-change,3.8
Malcolm Karpany,West Coast Eagles,Midfielder/Forward,no-change,-2.3
Corey Adamson,West Coast Eagles,Midfielder,no-change,0
Matthew Allen,West Coast Eagles,Key Forward,no-change,0
Paddy Brophy,West Coast Eagles,Small/Medium Defender,no-change,0
Damien Cavka,West Coast Eagles,Small/Medium Forward,no-change,0
Kurt Mutimer,West Coast Eagles,Midfielder,no-change,0
Luke Partington,West Coast Eagles,Midfielder,no-change,0
Jordan Snadden,West Coast Eagles,Midfielder,no-change,0
Alec Waterman,West Coast Eagles,Midfielder,no-change,0
