Name,Club,Position,Trend,Points
Marcus Bontempelli,Western Bulldogs,Midfielder,no-change,609.4
Jake Stringer,Western Bulldogs,Small/Medium Forward,down,460.2
Mitch Wallis,Western Bulldogs,Midfielder,no-change,442.3
Luke Dahlhaus,Western Bulldogs,Midfielder/Forward,up,435.2
Liam Picken,Western Bulldogs,Midfielder,up,419.2
Matthew Boyd,Western Bulldogs,Small/Medium Defender,down,411.2
Easton Wood,Western Bulldogs,Small/Medium Defender,down,407
Jack Macrae,Western Bulldogs,Midfielder,down,387.9
Jason Johannisen,Western Bulldogs,Small/Medium Defender,up,385
Lachie Hunter,Western Bulldogs,Midfielder,up,372.7
Tory Dickson,Western Bulldogs,Small/Medium Forward,up,358.2
Dale Morris,Western Bulldogs,Key Defender,up,335.1
Jordan Roughead,Western Bulldogs,Ruck,up,324.5
Caleb Daniel,Western Bulldogs,Small/Medium Forward,up,312
Tom Liberatore,Western Bulldogs,Midfielder,up,311
Matthew Suckling,Western Bulldogs,Small/Medium Defender,up,290
Lin Jong,Western Bulldogs,Midfielder/Forward,up,289.7
Robert Murphy,Western Bulldogs,Small/Medium Defender,up,288.9
Shane Biggs,Western Bulldogs,Small/Medium Defender,up,281.3
Koby Stevens,Western Bulldogs,Midfielder/Forward,no-change,241.1
Jed Adcock,Western Bulldogs,Small/Medium Defender,up,211.2
Stewart Crameri,Western Bulldogs,Small/Medium Forward,down,196.2
Fletcher Roberts,Western Bulldogs,Key Defender,up,189.4
Tom Boyd,Western Bulldogs,Key Forward,up,182.6
Toby McLean,Western Bulldogs,Small/Medium Forward,up,168.9
Joel Hamling,Western Bulldogs,Key Defender,up,162.9
Jack Redpath,Western Bulldogs,Key Forward,down,152.4
Clay Smith,Western Bulldogs,Midfielder/Forward,up,147.5
Tom Campbell,Western Bulldogs,Ruck,down,144.8
Josh Dunkley,Western Bulldogs,Small/Medium Forward,up,121.7
Will Minson,Western Bulldogs,Ruck,down,116.5
Marcus Adams,Western Bulldogs,Key Defender,no-change,105.4
Lukas Webb,Western Bulldogs,Small/Medium Defender,no-change,87.5
Mitch Honeychurch,Western Bulldogs,Small/Medium Forward,no-change,86.7
Nathan Hrovat,Western Bulldogs,Small/Medium Forward,no-change,78.2
Bailey Dale,Western Bulldogs,Midfielder/Forward,no-change,69.4
Zaine Cordy,Western Bulldogs,Key Defender,up,65.7
Bailey Williams,Western Bulldogs,Small/Medium Defender,no-change,53.1
Josh Prudden,Western Bulldogs,Small/Medium Defender,up,27.5
Roarke Smith,Western Bulldogs,Small/Medium Defender,no-change,6.8
Kieran Collins,Western Bulldogs,Key Defender,no-change,1.2
Luke Goetz,Western Bulldogs,Key Forward,no-change,0
Declan Hamilton,Western Bulldogs,Midfielder/Forward,no-change,0
Brad Lynch,Western Bulldogs,Small/Medium Defender,no-change,0
