Name,Rank,Matches,Ave,SR,BpB
David Warner,1,3,76.00,180.95,4.42
Shaun Marsh,2,28,52.09,128.19,6.57
Peter Handscomb,3,20,52.00,123.32,9.73
Usman Khawaja,4,21,51.19,127.97,5.93
Brad Hodge,5,38,45.27,136.70,5.90
Adil Rashid,6,9,43.00,179.17,4.00
Aaron Finch,7,35,42.71,135.66,5.61
Sam Billings,8,4,40.67,131.18,6.64
Kevin Pietersen,9,18,39.44,140.22,5.92
Chris Lynn,10,42,39.42,154.88,4.94
Mitchell Marsh,11,24,39.12,126.43,7.85
Henry Nicholls,12,2,38.00,122.58,10.33
George Bailey,13,34,37.76,136.02,6.55
Ian Bell,14,4,37.25,127.35,7.31
Owais Shah,15,22,36.31,126.88,7.15
Ricky Ponting,16,8,36.14,118.22,7.64
Michael Klinger,17,45,35.97,122.32,7.08
Michael Carberry,18,15,35.30,127.44,5.77
Michael Hussey,19,27,35.27,131.53,7.02
Chris Sabburg,20,6,35.00,74.47,-
Cameron Bancroft,21,10,34.25,128.04,10.70
Phil Jaques,22,8,33.43,119.39,8.17
Tom Beaton,23,13,32.33,151.56,6.10
Luke Pomersbach,24,18,32.18,134.40,5.02
Ben Stokes,25,4,32.00,156.10,4.32
Tim Paine,26,36,31.73,125.84,6.40
Marcus North,27,26,31.50,111.75,8.84
Steven Smith,28,20,31.19,124.75,8.16
Tim Ludeman,29,34,31.12,124.68,6.24
Chris Gayle,30,22,30.90,136.06,5.48
Dwayne Bravo,31,20,30.86,139.35,6.60
Luke Wright,32,45,30.73,135.65,5.15
Herschelle Gibbs,33,16,30.50,139.43,4.79
Cameron Delport,34,1,30.00,103.45,9.67
Matthew Hayden,35,7,29.57,134.42,5.50
Jonathan Wells,36,35,29.42,119.06,7.41
Travis Head,37,24,29.05,145.25,5.48
Jack Wildermuth,38,3,29.00,145.00,6.67
Hamish Kingston,38,5,29.00,181.25,5.33
Moises Henriques,40,41,28.74,124.46,7.85
Jacques Kallis,41,16,28.62,119.61,6.62
Glenn Maxwell,41,32,28.62,154.68,5.23
Adam Voges,43,41,27.93,123.42,9.05
Brendon McCullum,44,6,27.50,158.65,3.71
David Hussey,45,41,27.37,127.85,7.71
Mahela Jayawardene,46,7,27.29,121.66,6.54
Jason Behrendorff,47,32,27.00,122.73,7.33
Simon Katich,48,29,26.72,131.42,6.20
D'Arcy Short,49,3,26.67,186.05,3.07
Brad Haddin,49,20,26.67,129.03,6.10
Michael Hill,51,12,26.55,121.67,7.27
