Name,Matches,Ave,Econ,SR
Chris Swan,1,16.00,4.00,24.00
Sachithra Senanayake,2,38.00,4.65,49.00
Tom Cooper,7,10.50,4.67,13.50
Chris Sabburg,1,-,5.00,-
Lasith Malinga,13,15.00,5.16,17.44
Adam Voges,4,19.50,5.44,21.50
Saeed Ajmal,1,22.00,5.50,24.00
Muttiah Muralitharan,16,18.32,5.60,19.63
William Somerville,3,15.67,5.88,16.00
Shakib Al Hasan,6,14.22,6.00,14.22
Samuel Badree,11,22.67,6.04,22.50
Brad Hogg,46,21.16,6.13,20.71
Ajantha Mendis,3,25.00,6.16,24.33
Michael Beer,41,29.34,6.18,28.47
Liam O'Connor,3,31.00,6.20,30.00
Craig Simmons,6,29.33,6.21,28.33
Simon Milenko,1,8.33,6.25,8.00
James Franklin,1,11.00,6.29,10.50
Sunil Narine,8,42.80,6.45,39.80
Adil Rashid,9,14.13,6.46,13.13
Marlon Samuels,6,18.13,6.49,16.75
Nathan McCullum,3,17.33,6.50,16.00
David Willey,13,20.06,6.51,18.50
Stuart MacGill,7,23.71,6.51,21.86
Ashton Turner,14,16.11,6.54,14.78
Andrew Tye,26,19.38,6.61,17.59
Kemar Roach,8,38.80,6.61,35.20
Steve O'Keefe,30,33.00,6.62,29.90
Scott Coyte,13,37.88,6.64,34.25
Brett Lee,36,28.37,6.64,25.63
Brad Young,5,24.00,6.67,21.60
Nicholas Winter,3,11.60,6.69,10.40
Jason Behrendorff,32,19.02,6.71,17.00
Chris Lynn,5,25.00,6.72,22.33
Matthew Short,2,34.00,6.80,30.00
Jacques Kallis,14,30.50,6.80,26.90
Alfonso Thomas,23,27.33,6.81,24.10
Chris Green,13,21.92,6.89,19.08
Dirk Nannes,26,23.76,6.91,20.62
Mohammad Hafeez,1,-,6.95,-
James Hopes,30,29.71,6.96,25.63
James Pattinson,9,17.33,6.96,14.93
Aaron O'Brien,24,27.45,6.97,23.64
Johan Botha,37,37.24,6.98,32.00
Billy Stanlake,5,25.40,6.99,21.80
Nathan Lyon,16,19.00,7.03,16.23
Peter Siddle,7,35.20,7.04,30.00
Chris Gayle,15,35.67,7.05,30.33
Luke Doran,14,32.00,7.08,27.13
Shane Warne,14,31.00,7.10,26.18
Brendan Drew,3,22.50,7.11,19.00
Daniel Vettori,15,42.40,7.17,35.50
Aaron Heal,3,28.67,7.17,24.00
Glenn Maxwell,21,28.67,7.17,24.00
Gurinder Sandhu,24,28.95,7.18,24.18
Jackson Bird,32,26.97,7.24,22.35
Marcus Stoinis,12,15.08,7.24,12.50
Darren Pattinson,9,23.89,7.25,19.78
Yasir Arafat,16,17.37,7.27,14.33
Adam Zampa,29,26.86,7.28,22.14
James Faulkner,33,21.68,7.28,17.87
Shahid Afridi,7,20.80,7.30,17.10
Shoaib Malik,11,24.00,7.30,19.73
Jeevan Mendis,3,73.00,7.30,60.00
John Hastings,28,19.38,7.32,15.88
Fidel Edwards,5,25.50,7.34,20.83
Fawad Ahmed,23,40.79,7.35,33.29
Nathan Coulter-Nile,25,20.53,7.37,16.72
David Hussey,15,20.00,7.38,16.25
Mitchell Johnson,3,18.80,7.42,15.20
Cameron White,3,23.50,7.42,19.00
Luke Feldman,14,24.80,7.46,19.93
Ravi Bopara,5,55.50,7.48,44.50
Chris Simpson,1,25.00,7.50,20.00
Xavier Doherty,32,28.90,7.51,23.10
Ben Laughlin,44,19.81,7.52,15.81
Josh Lalor,20,34.27,7.54,27.27
Luke Butterworth,4,23.25,7.54,18.50
Mitchell Starc,10,14.85,7.58,11.75
Chris Woakes,2,31.00,7.59,24.50
Sam Rainbird,6,26.17,7.60,20.67
Andre Russell,18,23.09,7.60,18.22
Chris Tremain,23,34.50,7.62,27.15
Ahilen Beadle,2,61.00,7.63,48.00
Kane Richardson,35,26.05,7.63,20.49
Jayde Herrick,2,-,7.66,-
Shane Watson,12,26.70,7.67,20.90
Josh Hazlewood,14,20.19,7.69,15.76
Dwayne Bravo,19,31.56,7.71,24.56
Jonathan Wells,2,-,7.71,-
Naved-ul-Hasan,8,17.00,7.73,13.20
